CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Alexa Gray,60,0,100000,1,3,0,3,5,0,2
Alexa Howard,54,1,100000,1,1,2,3,5,1,3
Alexa James,54,1,75000,1,1,0,4,5,1,1
Alexa Kelly,96,1,25000,1,3,0,4,3,0,2
Alexa Morris,37,0,25000,1,4,4,2,1,1,2
Alexa Murphy,54,0,75000,1,1,0,4,5,1,1
Alexa Peterson,61,1,150000,1,3,4,3,5,1,4
Alexa Reed,73,0,75000,1,4,0,4,4,1,2
Alexa Richardson,65,1,75000,1,2,1,3,5,1,2
Alexa Rivera,55,1,50000,1,4,2,2,2,0,2
Alexa Rogers,76,0,75000,1,3,0,4,4,0,2
Alexa Sanchez,46,0,75000,1,4,0,5,5,1,0
Alexa Sanders,60,1,75000,1,3,0,3,5,1,2
Alexa Stewart,46,1,75000,1,4,0,5,5,0,0
Alexa Travers,56,1,75000,1,1,0,3,2,1,1
Alexa Ward,36,1,50000,1,0,0,2,2,1,2
Alexa Watson,39,0,50000,1,0,0,3,3,0,1
Alexander Anderson,74,1,75000,0,3,0,5,4,1,2
Alexander Brown,80,0,100000,0,4,0,4,4,1,2
Alexander Davis,41,0,50000,0,0,0,2,2,0,2
Alexander Garcia,50,0,75000,0,0,0,5,2,0,0
Alexander Harris,52,1,75000,0,4,2,4,2,1,2
Alexander Jackson,58,1,50000,0,2,0,3,3,0,1
Alexander Johnson,40,0,50000,0,0,0,3,2,1,1
Alexander Jones,51,1,100000,0,4,4,4,2,1,0
Alexander Lee,48,1,100000,0,4,4,3,2,1,2
Alexander Martin,49,0,50000,0,1,1,4,3,0,1
Alexander Martinez,51,1,50000,0,3,3,4,2,1,3
Alexander Miller,47,1,75000,0,2,2,4,2,1,0
Alexander Robinson,75,0,150000,0,2,4,5,4,1,3
Alexander Rodriguez,79,0,75000,0,3,0,5,4,1,2
Alexander Smith,44,1,75000,0,0,0,3,2,1,2
Alexander Taylor,49,0,50000,0,2,2,4,2,1,1
Alexander Thompson,50,1,75000,0,4,0,5,5,1,0
Alexander Walker,50,0,75000,0,0,0,5,2,0,0
Alexander White,74,1,75000,0,3,0,5,4,1,2
Alexander Williams,57,1,75000,0,4,0,5,2,1,0
Alexander Wilson,69,1,75000,0,5,0,4,4,1,3
Alexandra Adams,58,0,75000,1,1,0,4,5,0,1
Alexandra Alexander,45,1,75000,1,1,0,5,2,1,0
Alexandra Allen,50,1,100000,1,0,0,4,5,1,0
Alexandra Anderson,47,0,75000,1,1,0,5,5,1,0
Alexandra Bailey,68,1,75000,1,4,1,3,5,1,2
Alexandra Baker,40,1,75000,1,0,0,3,5,1,2
Alexandra Barnes,47,0,75000,1,2,0,5,5,1,0
Alexandra Bell,67,1,50000,1,4,0,2,5,1,2
Alexandra Bennett,69,1,50000,1,2,1,2,5,1,1
Alexandra Brooks,76,1,100000,1,4,0,5,4,1,2
Alexandra Brown,48,1,100000,1,2,0,4,4,1,3
Alexandra Bryant,56,1,50000,1,3,0,5,3,1,0
Alexandra Campbell,48,1,100000,1,3,0,4,4,1,3
Alexandra Carter,52,1,100000,1,5,5,3,5,1,3
Alexandra Clark,59,1,50000,1,2,0,2,2,0,2
Alexandra Coleman,60,1,75000,1,2,0,2,5,0,2
Alexandra Collins,61,0,25000,1,2,0,3,1,1,0
Alexandra Cook,52,1,150000,1,2,2,5,4,1,3
Alexandra Cooper,57,1,75000,1,4,3,4,5,0,1
Alexandra Cox,51,1,75000,1,0,0,5,5,1,1
Alexandra Davis,42,0,50000,1,0,0,3,2,0,1
Alexandra Diaz,43,1,50000,1,1,0,5,2,1,0
Alexandra Edwards,71,1,75000,1,4,0,4,4,1,2
Alexandra Evans,52,1,75000,1,4,4,4,2,1,2
Alexandra Flores,59,1,75000,1,1,0,3,2,1,1
Alexandra Foster,59,0,75000,1,2,0,2,5,1,2
Alexandra Garcia,41,0,50000,1,0,0,2,2,1,2
Alexandra Gonzales,47,0,75000,1,2,2,4,2,1,0
Alexandra Gray,39,0,50000,1,0,0,3,2,0,1
Alexandra Green,55,0,150000,1,1,3,4,4,0,1
Alexandra Griffin,58,0,100000,1,4,0,5,2,1,0
Alexandra Hall,45,0,75000,1,1,0,5,2,1,0
Alexandra Hall,61,1,150000,1,3,4,3,5,1,3
Alexandra Harris,63,1,50000,1,1,0,3,3,1,1
Alexandra Henderson,36,1,50000,1,0,0,2,2,0,2
Alexandra Hernandez,56,1,150000,1,3,3,3,5,0,4
Alexandra Hill,41,0,50000,1,0,0,3,2,1,2
Alexandra Howard,41,0,50000,1,4,4,3,3,1,1
Alexandra Hughes,43,0,75000,1,0,0,3,2,0,2
Alexandra Jackson,55,0,50000,1,3,0,5,3,1,0
Alexandra James,49,1,50000,1,0,0,4,3,0,0
Alexandra Jenkins,45,1,75000,1,1,1,5,2,1,0
Alexandra Johnson,66,1,75000,1,4,2,3,5,1,1
Alexandra Jones,57,1,75000,1,5,5,5,5,1,3
Alexandra King,63,1,100000,1,3,4,3,5,1,4
Alexandra Lee,52,0,100000,1,0,0,3,5,0,1
Alexandra Lewis,47,1,75000,1,2,2,4,2,1,0
Alexandra Lopez,38,0,50000,1,0,0,1,3,1,2
Alexandra Martin,45,0,75000,1,3,0,5,5,1,0
Alexandra McDonald,56,1,150000,1,4,3,3,5,1,4
Alexandra Miller,61,1,75000,1,4,3,2,5,1,0
Alexandra Mitchell,53,1,100000,1,4,3,3,5,1,2
Alexandra Moore,46,1,50000,1,1,1,4,2,1,0
Alexandra Morgan,38,0,50000,1,0,0,3,2,0,1
Alexandra Morris,42,1,75000,1,0,0,3,5,1,2
Alexandra Murphy,46,1,50000,1,1,1,4,2,1,0
Alexandra Nelson,62,1,50000,1,1,0,2,3,1,1
Alexandra Parker,55,1,150000,1,1,3,4,4,1,2
Alexandra Patterson,52,0,50000,1,2,2,3,3,1,2
Alexandra Perez,49,0,50000,1,0,0,4,5,0,1
Alexandra Perry,40,1,50000,1,0,0,2,2,1,2
Alexandra Powell,42,0,75000,1,0,0,3,5,0,2
Alexandra Price,45,1,75000,1,1,0,5,5,1,0
Alexandra Ramirez,44,1,50000,1,1,1,4,2,1,0
Alexandra Reed,67,1,50000,1,4,0,2,5,0,2
Alexandra Richardson,50,0,75000,1,0,0,5,2,1,0
Alexandra Rivera,66,1,100000,1,3,1,4,4,1,1
Alexandra Roberts,40,0,75000,1,0,0,3,5,0,2
Alexandra Robinson,59,0,150000,1,2,4,3,5,0,3
Alexandra Rodriguez,52,1,75000,1,4,2,4,2,1,2
Alexandra Rogers,37,0,50000,1,0,0,3,3,1,1
Alexandra Ross,49,0,50000,1,0,0,3,2,0,1
Alexandra Russell,43,1,50000,1,1,0,5,2,1,0
Alexandra Sanchez,47,1,75000,1,1,0,5,5,1,0
Alexandra Sanders,38,0,50000,1,0,0,2,2,0,2
Alexandra Scott,45,1,75000,1,1,1,5,2,1,0
Alexandra Smith,62,0,75000,1,3,0,1,2,1,2
Alexandra Stewart,38,1,75000,1,0,0,3,2,1,2
Alexandra Taylor,63,1,25000,1,2,0,2,1,0,2
Alexandra Thomas,46,1,75000,1,1,0,5,5,1,0
Alexandra Thompson,43,0,50000,1,1,0,5,2,1,0
Alexandra Turner,48,1,150000,1,1,0,5,4,1,3
Alexandra Wagner,50,0,75000,1,0,0,5,2,0,0
Alexandra Walker,40,1,50000,1,0,0,2,2,1,2
Alexandra Washington,46,1,75000,1,1,0,5,5,1,0
Alexandra Watson,59,0,75000,1,1,0,3,2,0,1
Alexandra White,40,1,50000,1,0,0,2,2,1,2
Alexandra Wilson,62,0,75000,1,3,0,1,2,0,2
Alexandra Winston,51,0,50000,1,2,2,3,3,1,1
Alexandra Wood,57,0,50000,1,2,0,3,3,0,1
Alexandra Wright,70,0,50000,1,2,1,2,5,1,1
Alexandra Young,55,0,25000,1,1,0,4,1,0,0
Alexandre Lobao,40,1,75000,0,0,0,3,5,0,2
Alexandria Alexander,50,1,100000,1,3,3,4,2,1,0
Alexandria Bailey,71,1,75000,1,4,0,4,4,1,2
Alexandria Barnes,61,1,100000,1,3,2,3,5,0,1
Alexandria Bell,57,0,75000,1,4,0,5,2,1,0
Alexandria Bradley,43,0,50000,1,0,0,5,2,1,0
Alexandria Brooks,51,0,50000,1,3,3,4,2,0,3
Alexandria Bryant,37,0,75000,1,0,0,3,2,0,1
Alexandria Butler,42,0,50000,1,0,0,3,3,0,1
Alexandria Coleman,54,1,75000,1,5,4,3,5,1,3
Alexandria Cook,53,1,150000,1,1,1,4,4,1,4
Alexandria Cox,37,0,50000,1,0,0,2,2,1,2
Alexandria Diaz,62,1,150000,1,3,4,3,5,0,4
Alexandria Flores,57,1,75000,1,5,4,4,5,1,1
Alexandria Foster,64,0,75000,1,2,1,1,2,1,2
Alexandria Gonzales,71,1,75000,1,4,0,4,4,1,2
Alexandria Gray,58,1,50000,1,2,0,2,2,1,2
Alexandria Griffin,75,0,50000,1,4,0,2,5,0,2
Alexandria Hayes,39,0,50000,1,0,0,4,5,1,2
Alexandria Henderson,90,1,50000,1,1,0,4,3,1,0
Alexandria Howard,59,0,75000,1,2,0,2,5,0,2
Alexandria Hughes,60,0,100000,1,2,1,3,5,0,0
Alexandria Jenkins,73,1,75000,1,5,0,4,4,0,2
Alexandria Kelly,52,1,100000,1,4,2,3,5,1,0
Alexandria Long,54,1,75000,1,1,0,3,2,1,1
Alexandria Morgan,43,0,50000,1,1,0,5,2,1,0
Alexandria Morris,42,0,50000,1,0,0,2,2,0,2
Alexandria Murphy,71,1,75000,1,5,0,4,4,1,2
Alexandria Patterson,71,1,50000,1,5,0,2,5,1,3
Alexandria Peterson,42,0,50000,1,3,3,3,3,1,2
Alexandria Powell,73,1,100000,1,5,0,4,4,0,2
Alexandria Price,48,0,100000,1,4,4,3,2,0,3
Alexandria Ramirez,64,1,50000,1,3,0,3,5,0,2
Alexandria Reed,43,0,75000,1,0,0,3,2,0,1
Alexandria Richardson,38,1,75000,1,0,0,3,2,0,2
Alexandria Rogers,53,1,100000,1,5,2,3,5,1,1
Alexandria Ross,68,0,75000,1,4,1,4,4,1,2
Alexandria Russell,58,1,75000,1,1,0,4,5,1,1
Alexandria Sanchez,55,1,100000,1,4,3,3,5,1,0
Alexandria Sandberg,42,0,50000,1,0,0,2,2,1,2
Alexandria Simmons,43,1,75000,1,0,0,3,2,1,2
Alexandria Stewart,75,1,75000,1,3,0,5,4,0,2
Alexandria Ward,72,0,75000,1,4,0,4,4,1,2
Alexandria Washington,46,1,50000,1,1,1,4,2,1,1
Alexandria Watson,76,1,75000,1,3,0,4,4,1,2
Alexandria Wood,51,0,50000,1,0,0,4,5,1,1
Alexia Alexander,65,0,75000,1,2,1,2,5,1,2
Alexia Barnes,54,1,75000,1,5,4,3,2,0,2
Alexia Bennett,52,1,150000,1,3,2,4,4,1,4
Alexia Bryant,49,0,50000,1,2,2,4,2,0,1
Alexia Butler,47,0,100000,1,3,0,5,5,1,0
Alexia Coleman,62,0,75000,1,3,1,2,5,1,0
Alexia Diaz,51,1,75000,1,0,0,5,5,1,0
Alexia Flores,61,1,50000,1,1,0,3,3,1,1
Alexia Foster,50,0,25000,1,2,2,2,1,1,0
Alexia Griffin,54,1,50000,1,1,0,3,3,1,1
Alexia Hayes,49,0,50000,1,2,2,4,2,0,1
Alexia Henderson,40,0,75000,1,0,0,4,5,0,2
Alexia Hughes,41,1,50000,1,0,0,3,2,1,2
Alexia Perry,47,1,50000,1,1,1,4,2,1,1
Alexia Powell,60,1,50000,1,2,0,2,2,0,2
Alexia Price,69,1,100000,1,5,0,4,4,0,2
Alexia Ross,68,1,50000,1,2,1,2,5,1,2
Alexia Russell,75,1,50000,1,4,0,4,4,1,2
Alexia Washington,60,0,75000,1,2,0,2,5,0,2
Alexia Wood,63,0,25000,1,2,0,2,1,0,2
Alexis Alexander,39,0,50000,1,0,0,3,2,1,2
Alexis Ashe,58,1,75000,1,3,2,4,5,1,1
Alexis Barnes,40,0,25000,1,0,0,1,1,0,2
Alexis Bennett,68,1,75000,1,2,1,4,4,1,0
Alexis Brown,40,0,50000,1,0,0,3,2,1,1
Alexis Bryant,50,0,75000,1,0,0,5,2,1,0
Alexis Butler,37,1,50000,1,0,0,3,2,1,1
Alexis Clark,41,0,50000,1,0,0,2,2,1,2
Alexis Coleman,59,0,150000,1,2,3,4,4,0,3
Alexis Diaz,56,1,75000,1,1,0,3,2,1,1
Alexis Flores,51,1,50000,1,3,3,4,2,1,1
Alexis Foster,57,1,50000,1,0,0,4,3,1,0
Alexis Gonzales,53,1,75000,1,5,5,4,5,1,3
Alexis Griffin,44,1,50000,1,1,0,5,2,1,0
Alexis Hall,57,1,75000,1,4,3,4,5,1,0
Alexis Harris,69,1,75000,1,5,0,4,4,1,3
Alexis Hayes,64,1,50000,1,2,0,3,2,1,2
Alexis Henderson,63,0,75000,1,3,0,5,4,1,2
Alexis Hughes,87,1,25000,1,4,0,2,1,0,2
Alexis Jenkins,62,0,75000,1,2,0,1,2,1,2
Alexis Johnson,45,0,75000,1,1,0,5,5,1,0
Alexis Jones,81,0,50000,1,2,0,5,4,1,2
Alexis Lee,73,0,75000,1,4,0,4,4,0,2
Alexis Lewis,60,1,50000,1,2,0,2,2,0,2
Alexis Long,37,0,25000,1,1,1,2,1,0,0
Alexis Martinez,59,1,75000,1,2,0,1,2,1,2
Alexis Miller,63,0,75000,1,3,0,5,4,1,2
Alexis Moore,44,1,50000,1,1,1,5,2,1,0
Alexis Patterson,77,1,75000,1,5,0,5,4,1,2
Alexis Perry,46,1,50000,1,1,1,4,2,1,1
Alexis Powell,56,0,75000,1,1,0,3,2,0,1
Alexis Price,62,1,50000,1,1,0,2,3,1,1
Alexis Robinson,43,1,75000,1,0,0,3,5,1,2
Alexis Rodriguez,40,1,50000,1,0,0,2,2,1,2
Alexis Ross,56,1,150000,1,1,3,3,5,1,3
Alexis Russell,44,1,100000,1,0,5,2,4,1,3
Alexis Simmons,45,0,75000,1,1,0,5,5,0,0
Alexis Smith,62,1,75000,1,2,0,1,2,1,2
Alexis Taylor,59,1,50000,1,2,0,2,2,0,2
Alexis Thomas,56,1,150000,1,4,3,4,4,1,3
Alexis Thompson,68,1,75000,1,2,1,3,5,1,1
Alexis Walker,41,0,50000,1,0,0,2,2,0,2
Alexis Washington,40,1,75000,1,0,0,3,5,0,2
Alexis White,59,1,75000,1,2,0,2,5,1,2
Alexis Williams,49,1,75000,1,5,5,4,5,1,4
Alexis Wilson,52,1,100000,1,5,2,3,5,1,1
Alexis Wood,37,1,75000,1,0,0,3,2,0,1
Alfredo Alonso,66,1,25000,0,2,1,1,3,1,2
Alfredo Blanco,42,1,50000,0,1,1,4,2,1,0
Alfredo Carlson,48,1,100000,0,5,5,4,5,1,4
Alfredo Diaz,51,0,25000,0,2,2,2,1,1,1
Alfredo Dominguez,41,0,50000,0,0,0,3,3,0,1
Alfredo Gill,66,1,150000,0,4,5,2,4,1,3
Alfredo Gomez,43,1,100000,0,0,0,4,5,0,3
Alfredo Gutierrez,46,1,50000,0,2,2,3,3,1,2
Alfredo Hernandez,46,0,25000,0,0,0,3,1,1,1
Alfredo Jiménez,38,1,50000,0,0,0,3,2,1,1
Alfredo Martin,67,1,50000,0,2,1,2,5,0,2
Alfredo Moreno,67,1,100000,0,4,1,2,4,1,3
Alfredo Munoz,69,1,50000,0,2,0,3,3,0,2
Alfredo Navarro,47,0,25000,0,2,2,2,1,1,0
Alfredo Ortega,60,0,100000,0,2,0,2,2,1,2
Alfredo Ramos,58,0,150000,0,0,0,5,4,1,3
Alfredo Romero,70,1,75000,0,5,0,4,4,1,3
Alfredo Rubio,73,1,25000,0,2,0,3,1,1,1
Alfredo Ruiz,53,1,75000,0,5,5,4,5,1,3
Alfredo Sandberg,65,0,100000,0,4,2,2,5,1,2
Alfredo Serrano,73,0,50000,0,2,0,4,4,1,2
Alfredo Suarez,55,1,75000,0,1,0,3,2,1,1
Alfredo Torres,53,1,75000,0,4,4,4,5,0,3
Alice Serventi,80,1,25000,1,1,0,5,3,1,0
Alícia Anand,60,0,100000,1,2,0,2,2,0,2
Alicia Andersen,59,1,150000,1,2,4,2,5,1,4
Alicia Beck,44,1,150000,1,0,5,1,5,1,4
Alicia Chapman,57,1,150000,1,1,2,4,4,1,2
Alicia Goel,64,0,50000,1,3,0,2,2,1,2
Alicia Jai,37,0,50000,1,3,3,3,3,1,1
Alicia Lal,46,1,100000,1,0,5,1,5,1,4
Alicia Luo,65,1,100000,1,4,1,2,5,1,3
Alicia Pal,57,1,25000,1,1,1,2,1,1,1
Alicia Rai,66,1,150000,1,0,5,3,4,0,4
Alicia Raje,61,1,150000,1,3,4,3,5,1,4
Alicia Raji,55,1,100000,1,5,4,3,5,1,3
Alicia Shan,67,0,150000,1,3,5,2,4,0,4
Alicia Sharma,47,1,50000,1,0,0,5,3,1,0
Alicia She,44,1,150000,1,0,5,1,5,1,4
Alicia Shen,72,1,75000,1,5,1,2,5,1,2
Alicia Xie,40,0,75000,1,0,0,4,5,0,3
Alicia Xu,38,1,25000,1,0,0,4,3,1,0
Alicia Yuan,51,0,75000,1,0,0,4,5,1,1
Alisha Alan,43,1,50000,1,1,1,4,2,1,0
Alisha Andersen,50,1,25000,1,2,2,2,1,1,0
Alisha Beck,44,1,150000,1,0,5,2,4,0,4
Alisha Cai,41,0,50000,1,0,0,2,2,0,2
Alisha Chande,82,0,100000,1,4,0,5,4,1,2
Alisha Chander,36,0,25000,1,0,0,3,1,0,1
Alisha Chen,44,1,100000,1,0,0,4,5,0,3
Alisha Deng,44,0,50000,1,2,2,3,3,1,0
Alisha Gao,38,0,50000,1,0,0,2,1,1,1
Alisha Goel,59,0,75000,1,1,0,3,2,0,1
Alisha Guo,76,1,50000,1,2,0,4,4,1,2
Alisha He,53,1,50000,1,1,0,4,2,1,0
Alisha Holt,77,0,75000,1,2,0,5,4,0,1
Alisha Hu,41,0,50000,1,0,0,3,3,0,1
Alisha Huang,48,1,50000,1,0,0,5,3,1,0
Alisha Kumar,42,0,25000,1,0,0,1,1,0,2
Alisha Lal,41,0,75000,1,0,0,4,5,0,4
Alisha Li,66,0,150000,1,4,5,3,4,0,2
Alisha Liang,65,0,100000,1,5,2,2,5,1,2
Alisha Lin,43,0,25000,1,0,0,1,1,0,2
Alisha Liu,44,0,50000,1,2,2,3,3,1,0
Alisha Lu,42,0,50000,1,0,0,3,3,0,1
Alisha Luo,58,1,150000,1,1,3,3,5,1,2
Alisha Ma,48,0,25000,1,1,1,3,1,0,1
Alisha Nara,47,1,75000,1,0,0,5,2,1,0
Alisha Nath,47,0,50000,1,0,0,5,3,1,0
Alisha Oliver,39,1,50000,1,0,0,2,2,1,2
Alisha Rai,52,1,25000,1,3,3,2,1,1,0
Alisha Raje,66,0,100000,1,4,1,2,4,1,3
Alisha Raji,77,0,75000,1,3,0,5,4,1,2
Alisha Shan,46,1,50000,1,0,0,4,3,1,0
Alisha She,58,1,50000,1,1,0,3,3,1,1
Alisha Shen,43,1,150000,1,4,5,2,4,1,4
Alisha Sun,42,0,50000,1,0,0,3,3,0,1
Alisha Tang,40,1,25000,1,0,0,2,1,0,1
Alisha Wang,63,1,150000,1,3,5,4,4,1,2
Alisha Wu,43,1,150000,1,4,5,2,4,0,4
Alisha Xie,48,0,100000,1,4,4,3,2,0,3
Alisha Xu,36,1,25000,1,0,0,1,1,1,2
Alisha Xu,75,1,50000,1,2,0,4,4,1,2
Alisha Yang,50,1,50000,1,1,1,4,2,1,1
Alisha Ye,41,0,50000,1,0,0,2,2,0,1
Alisha Yuan,42,1,50000,1,3,3,3,3,1,2
Alisha Zeng,44,1,100000,1,0,0,4,5,1,3
Alisha Zhang,50,1,50000,1,0,0,4,5,0,0
Alisha Zhao,51,1,100000,1,5,5,4,5,1,4
Alisha Zheng,58,1,100000,1,1,1,4,4,1,3
Alisha Zhu,47,1,100000,1,1,0,5,4,1,0
Alison Anand,39,0,25000,1,0,0,3,1,0,0
Alison Andersen,63,0,150000,1,2,5,3,5,0,2
Alison Beck,71,1,100000,1,5,0,4,4,0,2
Alison Chande,65,1,100000,1,5,2,2,5,1,2
Alison Chander,47,1,150000,1,1,0,5,4,1,1
Alison Deng,65,1,100000,1,4,1,2,5,1,3
Alison Goel,58,1,25000,1,1,0,4,1,1,0
Alison Jai,45,0,100000,1,0,0,4,5,0,4
Alison Kumar,55,0,75000,1,1,0,3,2,1,1
Alison Lal,39,0,25000,1,0,0,2,1,0,1
Alison Luo,55,0,75000,1,1,0,3,2,1,1
Alison Nara,48,1,50000,1,0,0,5,3,1,0
Alison Nath,42,0,50000,1,3,3,3,3,1,2
Alison Pal,65,1,50000,1,3,0,2,2,1,2
Alison Rai,45,1,75000,1,1,1,5,2,1,0
Alison Raje,41,0,100000,1,0,0,4,5,1,3
Alison Raji,51,1,150000,1,3,2,4,4,1,4
Alison Shan,61,1,25000,1,2,0,3,1,1,1
Alison Sharma,53,0,50000,1,2,2,3,3,1,2
Alison Shen,43,1,100000,1,0,0,4,5,1,3
Alison Tang,39,0,25000,1,0,0,2,1,0,1
Alison Xie,58,0,25000,1,2,0,3,1,1,1
Alison Xu,44,1,100000,1,0,5,2,4,1,3
Alison Yuan,67,0,150000,1,4,5,3,4,0,4
Allen Arthur,39,0,50000,0,0,0,1,3,0,2
Allen Chandra,36,1,50000,0,0,0,2,2,0,2
Allen Fernandez,53,0,75000,0,0,0,4,5,0,1
Allen Garcia,59,1,150000,0,2,4,3,5,0,2
Allen Gonzalez,73,0,50000,0,1,0,4,3,0,0
Allen Kapoor,60,1,150000,0,2,4,3,5,1,4
Allen Lopez,53,1,50000,0,1,0,4,2,1,0
Allen Malhotra,70,1,150000,0,4,4,3,5,1,4
Allen Martinez,42,0,50000,0,0,0,3,3,0,1
Allen Mehta,48,1,25000,0,2,2,2,1,0,1
Allen Patel,49,0,150000,0,0,0,5,4,0,1
Allen Perez,45,0,100000,0,0,0,4,5,1,4
Allen Raman,51,0,75000,0,3,3,4,5,0,1
Allen Rana,61,1,150000,0,3,4,3,5,1,3
Allen Rodriguez,37,1,25000,0,0,0,4,3,1,0
Allen Sai,51,0,25000,0,2,2,2,1,1,1
Allen Schmidt,44,1,25000,0,0,0,1,1,1,2
Allen Smith,59,1,100000,0,1,0,3,2,1,1
Allen Subram,62,1,25000,0,2,0,3,1,1,1
Allen Suri,41,1,100000,0,0,0,4,5,1,2
Allison Adams,57,0,50000,1,3,0,5,3,1,0
Allison Allen,40,1,75000,1,0,0,3,2,0,2
Allison Bailey,66,0,25000,1,2,1,1,3,1,2
Allison Baker,68,0,50000,1,2,1,2,5,1,2
Allison Bell,40,1,50000,1,0,0,3,2,1,1
Allison Brooks,51,0,100000,1,4,4,4,2,0,1
Allison Campbell,55,1,75000,1,1,0,3,2,1,1
Allison Carter,73,1,100000,1,5,0,4,4,0,2
Allison Collins,62,0,25000,1,2,0,1,1,0,2
Allison Cooper,55,0,75000,1,1,0,3,2,0,1
Allison Cox,38,1,50000,1,0,0,2,2,1,2
Allison Edwards,54,1,50000,1,1,0,3,3,1,1
Allison Evans,68,1,75000,1,2,1,4,4,1,0
Allison Gonzalez,58,1,75000,1,1,0,4,5,1,1
Allison Gray,70,0,150000,1,4,4,4,4,0,4
Allison Green,53,0,75000,1,4,2,4,2,1,2
Allison Hernandez,65,1,75000,1,2,1,3,5,0,2
Allison Howard,58,1,50000,1,1,0,3,3,1,1
Allison James,60,0,25000,1,3,0,1,3,0,2
Allison Kelly,48,1,100000,1,3,0,4,4,1,3
Allison King,52,0,50000,1,4,4,4,2,1,2
Allison Lopez,37,1,50000,1,0,0,2,2,1,2
Allison Mitchell,44,0,75000,1,0,0,3,2,1,2
Allison Morris,80,1,75000,1,2,0,5,4,1,2
Allison Murphy,78,1,75000,1,3,0,5,4,1,2
Allison Nelson,44,1,75000,1,0,0,5,2,1,0
Allison Parker,68,0,75000,1,2,1,3,5,1,2
Allison Perez,52,1,75000,1,4,4,4,2,1,2
Allison Peterson,41,0,75000,1,0,0,4,5,0,3
Allison Phillips,62,0,100000,1,2,0,1,2,0,2
Allison Ramirez,41,0,25000,1,0,0,1,1,1,1
Allison Reed,52,1,75000,1,4,4,4,2,1,2
Allison Richardson,59,1,50000,1,1,0,3,3,1,1
Allison Rivera,58,0,100000,1,4,0,5,2,1,0
Allison Roberts,67,1,75000,1,4,1,3,5,1,2
Allison Rogers,51,1,50000,1,2,2,3,3,1,2
Allison Sanchez,42,0,50000,1,0,0,2,5,1,2
Allison Sanders,62,1,100000,1,3,0,1,2,1,2
Allison Scott,64,1,50000,1,3,0,3,5,0,2
Allison Stewart,55,1,75000,1,5,4,3,5,0,3
Allison Torres,38,1,50000,1,0,0,2,2,1,2
Allison Turner,37,0,50000,1,0,0,2,2,0,2
Allison Ward,82,1,150000,1,1,1,4,4,1,4
Allison Watson,53,1,75000,1,3,2,5,5,1,0
Allison Wright,49,0,50000,1,0,0,4,5,0,1
Allison Young,42,1,75000,1,0,0,4,5,1,4
Alma Son,65,1,150000,1,4,5,3,5,0,3
Alvin Anand,51,0,50000,0,2,2,3,3,1,1
Alvin Andersen,59,1,50000,0,1,0,3,3,1,1
Alvin Beck,49,0,25000,0,3,3,1,1,1,1
Alvin Cai,54,1,75000,0,5,4,3,2,1,2
Alvin Chande,42,0,75000,0,0,0,4,5,0,4
Alvin Chen,39,0,25000,0,0,0,2,1,0,1
Alvin Deng,48,0,50000,0,0,0,5,3,1,0
Alvin Goldstein,72,1,75000,0,4,0,4,4,1,2
Alvin Guo,59,1,150000,0,2,3,2,5,1,4
Alvin He,52,1,50000,0,2,2,3,3,1,2
Alvin Hu,41,1,100000,0,0,0,4,5,1,3
Alvin Huang,50,1,50000,0,0,0,4,5,1,0
Alvin Jai,55,1,75000,0,1,0,3,2,0,1
Alvin Kumar,38,0,75000,0,0,0,3,2,1,2
Alvin Lal,49,0,50000,0,1,1,4,3,0,0
Alvin Li,55,1,75000,0,1,0,3,2,1,1
Alvin Lin,40,0,25000,0,0,0,5,1,0,0
Alvin Liu,46,1,50000,0,0,0,4,3,0,0
Alvin Lu,75,0,75000,0,5,0,5,4,1,2
Alvin Luo,67,1,150000,0,4,5,2,4,1,4
Alvin Ma,70,0,100000,0,5,0,3,5,1,2
Alvin Nara,49,1,150000,0,0,0,5,4,1,0
Alvin Nath,51,1,100000,0,5,5,4,5,1,4
Alvin Pal,59,0,75000,0,1,0,3,2,0,1
Alvin Rai,39,1,50000,0,0,0,2,2,1,2
Alvin Raji,51,1,50000,0,3,3,4,2,1,3
Alvin Sharma,48,0,75000,0,0,0,4,5,1,1
Alvin She,61,1,100000,0,2,0,2,2,0,2
Alvin Shen,43,0,25000,0,0,0,1,1,0,2
Alvin Sun,50,1,100000,0,5,5,5,4,1,3
Alvin Tang,45,0,25000,0,0,0,1,1,0,2
Alvin Wang,66,1,150000,0,2,5,3,4,1,3
Alvin Xie,42,1,100000,0,0,5,2,4,1,1
Alvin Xu,55,1,50000,0,4,0,5,3,1,0
Alvin Xu,39,0,50000,0,0,0,2,2,0,2
Alvin Yang,56,0,25000,0,1,1,3,1,0,0
Alvin Ye,48,1,75000,0,2,2,4,5,1,1
Alvin Yuan,53,1,50000,0,1,0,4,2,0,0
Alvin Zeng,59,0,100000,0,1,0,3,2,0,1
Alvin Zhang,69,1,150000,0,5,5,1,5,1,4
Alvin Zhao,51,1,50000,0,1,0,4,2,1,0
Alvin Zheng,58,0,50000,0,1,0,5,3,0,0
Alvin Zhu,39,0,50000,0,0,0,1,3,0,2
Alyssa Alexander,46,1,100000,1,4,4,5,4,1,1
Alyssa Ashe,50,0,75000,1,0,0,5,2,0,0
